887,111,Aug 7,SFG,@,WSN,L,0-1,GS-9,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.232,.319,.326,.645,8,1.57,-0.060,-0.36,,,RF
888,112,Aug 8,SFG,@,MIA,W,8-7,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.318,.324,.642,9,.45,-0.013,-0.21,,,PH
889,114 (1),Aug 10,SFG,@,MIA,W,1-0,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.228,.317,.320,.637,8,.66,-0.052,-0.41,,,CF
890,115,Aug 12,SFG,,BAL,L,2-5,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.315,.319,.634,7,.20,-0.005,-0.10,,,PH
891,117 (1),Aug 14,SFG,,BAL,L,7-8,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.314,.317,.632,5,.12,-0.003,-0.10,,,PH
892,118,Aug 15,SFG,,PIT,L,5-8,6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.313,.316,.629,9,.93,-0.023,-0.15,,,PH
893,119,Aug 16,SFG,,PIT,L,3-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.225,.313,.316,.629,7,,,,,,PR
894,120,Aug 17,SFG,,PIT,L,5-6,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.313,.316,.629,8,.40,0.004,-0.18,,,CF
895,122 (1),Aug 19,SFG,,NYM,W,8-1,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.226,.313,.316,.629,9,,,,,,PH
896,123,Aug 20,SFG,,NYM,L,5-9,4-GF,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.313,.316,.630,2,.55,-0.006,-0.53,,,LF
897,124,Aug 21,SFG,,NYM,L,0-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.225,.310,.313,.622,7,.90,-0.071,-0.54,,,LF
898,147 (22),Sep 16,SFG,,STL,W,8-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.225,.310,.313,.622,1,,,,,,LF
899,152 (4),Sep 21,SFG,@,LAD,L,3-9,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.225,.310,.313,.622,4,,,,,,RF
900,156 (3),Sep 25,SFG,@,SDP,L,3-4,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.225,.310,.313,.622,1,,,,,,PR
901,157,Sep 27,SFG,,COL,W,12-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.309,.311,.620,9,.00,0.000,-0.10,,,PH LF
902,158,Sep 28,SFG,,COL,L,0-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.224,.309,.311,.620,2,,,,,,PR
